"geometry","annee","nom_iris","code_iris","type_iris","nom_commune","code_commune","nom_epci","code_epci","type_epci","nom_departement","code_departement","nom_region","code_region","domaine_de_tension","nb_sites_photovoltaique_enedis","energie_produite_annuelle_photovoltaique_enedis_mwh","nb_sites_eolien_enedis","energie_produite_annuelle_eolien_enedis_mwh","nb_sites_hydraulique_enedis","energie_produite_annuelle_hydraulique_enedis_mwh","nb_sites_bio_energie_enedis","energie_produite_annuelle_bio_energie_enedis_mwh","nb_sites_cogeneration_enedis","energie_produite_annuelle_cogeneration_enedis_mwh","nb_sites_autres_filieres_enedis","energie_produite_annuelle_autres_filieres_enedis_mwh","geom","geo_point_2d"
,2014,"Zone Urbaine","860620101","H","Chasseneuil-du-Poitou","86062","CA Grand Poitiers","248600157","CA","Vienne","86","Nouvelle-Aquitaine","75","BT > 36 kVA","1","109.503",,,,,,,,,,,,
,2015,"Gibauderie-Fontarnaud","862140104","H","Saint-Benoît","86214","CA Grand Poitiers","248600157","CA","Vienne","86","Nouvelle-Aquitaine","75","BT > 36 kVA","4","549.2699362443695",,,,,,,,,,,,
,2014,"Gibauderie-Fontarnaud","862140104","H","Saint-Benoît","86214","CA Grand Poitiers","248600157","CA","Vienne","86","Nouvelle-Aquitaine","75","BT <= 36 kVA","13","36.059706199519304",,,,,,,,,,,,
,2015,"Bel-Air","861941002","H","Poitiers","86194","CA Grand Poitiers","248600157","CA","Vienne","86","Nouvelle-Aquitaine","75","BT <= 36 kVA",,,,,,,,,,,,,,
,2015,"Non affecté","86194xxxx","_","Poitiers","86194","CA Grand Poitiers","248600157","CA","Vienne","86","Nouvelle-Aquitaine","75","BT <= 36 kVA",,,,,,,,,,,,,,
,2014,"Bel-Air","861941002","H","Poitiers","86194","CA Grand Poitiers","248600157","CA","Vienne","86","Nouvelle-Aquitaine","75","BT <= 36 kVA",,,,,,,,,,,,,,
,2014,"Non affecté","86062xxxx","_","Chasseneuil-du-Poitou","86062","CA Grand Poitiers","248600157","CA","Vienne","86","Nouvelle-Aquitaine","75","BT > 36 kVA","1","65.03267045146067",,,,,,,,,,,,
,2014,"Touffenet","861940601","H","Poitiers","86194","CA Grand Poitiers","248600157","CA","Vienne","86","Nouvelle-Aquitaine","75","BT <= 36 kVA",,,,,,,,,,,,,,
,2014,"Touffenet","861940601","H","Poitiers","86194","CA Grand Poitiers","248600157","CA","Vienne","86","Nouvelle-Aquitaine","75","BT > 36 kVA","1","80.26088137921519",,,,,,,,,,,,
,2015,"Chantejeau","862140102","H","Saint-Benoît","86214","CA Grand Poitiers","248600157","CA","Vienne","86","Nouvelle-Aquitaine","75","BT > 36 kVA","1","62.40446818727194",,,,,,,,,,,,
,2015,"Bourg","862140103","H","Saint-Benoît","86214","CA Grand Poitiers","248600157","CA","Vienne","86","Nouvelle-Aquitaine","75","BT <= 36 kVA",,,,,,,,,,,,,,
,2014,"Non affecté","86041xxxx","_","Buxerolles","86041","CA Grand Poitiers","248600157","CA","Vienne","86","Nouvelle-Aquitaine","75","BT <= 36 kVA",,,,,,,,,,,,,,
,2015,"Les Facultes","861940404","H","Poitiers","86194","CA Grand Poitiers","248600157","CA","Vienne","86","Nouvelle-Aquitaine","75","BT > 36 kVA","1","117.55091524937801",,,,,,,,,,,,
,2015,"La Plaine","861940701","H","Poitiers","86194","CA Grand Poitiers","248600157","CA","Vienne","86","Nouvelle-Aquitaine","75","BT <= 36 kVA",,,,,,,,,,,,,,
,2015,"Carnot","861940106","H","Poitiers","86194","CA Grand Poitiers","248600157","CA","Vienne","86","Nouvelle-Aquitaine","75","BT <= 36 kVA",,,,,,,,,,,,,,
,2015,"Couronneries-Nimegue","861940803","H","Poitiers","86194","CA Grand Poitiers","248600157","CA","Vienne","86","Nouvelle-Aquitaine","75","BT <= 36 kVA",,,,,,,,,,,,,,
,2015,"Pointe à Miteau","861940204","A","Poitiers","86194","CA Grand Poitiers","248600157","CA","Vienne","86","Nouvelle-Aquitaine","75","BT <= 36 kVA",,,,,,,,,,,,,,
,2015,"Non affecté","86062xxxx","_","Chasseneuil-du-Poitou","86062","CA Grand Poitiers","248600157","CA","Vienne","86","Nouvelle-Aquitaine","75","BT > 36 kVA","1","61.58755325846866",,,,,,,,,,,,
,2015,"Touffenet","861940601","H","Poitiers","86194","CA Grand Poitiers","248600157","CA","Vienne","86","Nouvelle-Aquitaine","75","BT <= 36 kVA",,,,,,,,,,,,,,
,2015,"Saint-Eloi-Mandela","861940604","H","Poitiers","86194","CA Grand Poitiers","248600157","CA","Vienne","86","Nouvelle-Aquitaine","75","BT <= 36 kVA","11","32.627016023061344",,,,,,,,,,,,
,2015,"Clos-Gauthier Les Sables","861940302","H","Poitiers","86194","CA Grand Poitiers","248600157","CA","Vienne","86","Nouvelle-Aquitaine","75","BT <= 36 kVA",,,,,,,,,,,,,,
,2015,"Mileterie","861940403","A","Poitiers","86194","CA Grand Poitiers","248600157","CA","Vienne","86","Nouvelle-Aquitaine","75","HTA",,,,,,,,,"1","13648.739",,,,
,2015,"Saint-Cyprien","861940303","H","Poitiers","86194","CA Grand Poitiers","248600157","CA","Vienne","86","Nouvelle-Aquitaine","75","BT <= 36 kVA",,,,,,,,,,,,,,
,2015,"Quatre Roues-Les Dunes","861940703","H","Poitiers","86194","CA Grand Poitiers","248600157","CA","Vienne","86","Nouvelle-Aquitaine","75","BT <= 36 kVA","10","44.54421001313855",,,,,,,,,,,,
,2015,"Saint-Eloi-Fraternité","861940605","H","Poitiers","86194","CA Grand Poitiers","248600157","CA","Vienne","86","Nouvelle-Aquitaine","75","BT > 36 kVA","2","161.872056436527",,,,,,,,,,,,
,2015,"Saint-Eloi-Fraternité","861940605","H","Poitiers","86194","CA Grand Poitiers","248600157","CA","Vienne","86","Nouvelle-Aquitaine","75","BT <= 36 kVA",,,,,,,,,,,,,,
,2015,"Les Templiers","861940502","H","Poitiers","86194","CA Grand Poitiers","248600157","CA","Vienne","86","Nouvelle-Aquitaine","75","BT <= 36 kVA",,,,,,,,,,,,,,
,2015,"Grand Maison","861940304","H","Poitiers","86194","CA Grand Poitiers","248600157","CA","Vienne","86","Nouvelle-Aquitaine","75","BT <= 36 kVA",,,,,,,,,,,,,,
,2015,"Trois Quartiers","861940101","H","Poitiers","86194","CA Grand Poitiers","248600157","CA","Vienne","86","Nouvelle-Aquitaine","75","BT <= 36 kVA",,,,,,,,,,,,,,
,2015,"Alienor d'Aquitaine","861940804","H","Poitiers","86194","CA Grand Poitiers","248600157","CA","Vienne","86","Nouvelle-Aquitaine","75","BT > 36 kVA","1","226.49182735368848",,,,,,,,,,,,
,2015,"Couronneries-Europe","861940802","H","Poitiers","86194","CA Grand Poitiers","248600157","CA","Vienne","86","Nouvelle-Aquitaine","75","BT <= 36 kVA",,,,,,,,,,,,,,
,2015,"Montbernage","861940704","H","Poitiers","86194","CA Grand Poitiers","248600157","CA","Vienne","86","Nouvelle-Aquitaine","75","BT <= 36 kVA",,,,,,,,,,,,,,
,2015,"Les Portes du Futur","860620103","A","Chasseneuil-du-Poitou","86062","CA Grand Poitiers","248600157","CA","Vienne","86","Nouvelle-Aquitaine","75","BT > 36 kVA","4","333.39472168471394",,,,,,,,,,,,
,2015,"Les Cours","861940301","H","Poitiers","86194","CA Grand Poitiers","248600157","CA","Vienne","86","Nouvelle-Aquitaine","75","BT <= 36 kVA",,,,,,,,,,,,,,
,2015,"La Republique","861941003","A","Poitiers","86194","CA Grand Poitiers","248600157","CA","Vienne","86","Nouvelle-Aquitaine","75","BT > 36 kVA","2","336.4528845606709",,,,,,,,,,,,
,2013,"Sainte-Croix","861940105","H","Poitiers","86194","CA Grand Poitiers","248600157","CA","Vienne","86","Nouvelle-Aquitaine","75","BT <= 36 kVA",,,,,,,,,,,,,,
,2017,"Les Portes du Futur","860620103","A","Chasseneuil-du-Poitou","86062","CA Grand-Poitiers","200069854","CA","Vienne","86","Nouvelle-Aquitaine","75","BT > 36 kVA","5","437.83",,,,,,,,,,,,
,2017,"Futuroscope","860620102","A","Chasseneuil-du-Poitou","86062","CA Grand-Poitiers","200069854","CA","Vienne","86","Nouvelle-Aquitaine","75","BT <= 36 kVA",,,,,,,,,,,,,,
,2017,"Planty-Amandiers","860410102","H","Buxerolles","86041","CA Grand-Poitiers","200069854","CA","Vienne","86","Nouvelle-Aquitaine","75","BT <= 36 kVA",,,,,,,,,,,,,,
,2017,"Bonnes (commune non irisée)","860310000","Z","Bonnes","86031","CA Grand-Poitiers","200069854","CA","Vienne","86","Nouvelle-Aquitaine","75","BT > 36 kVA","1","234.301",,,,,,,,,,,,
,2017,"Za du Grand Large","862140105","A","Saint-Benoît","86214","CA Grand-Poitiers","200069854","CA","Vienne","86","Nouvelle-Aquitaine","75","BT <= 36 kVA",,,,,,,,,,,,,,
,2017,"Gibauderie-Fontarnaud","862140104","H","Saint-Benoît","86214","CA Grand-Poitiers","200069854","CA","Vienne","86","Nouvelle-Aquitaine","75","BT > 36 kVA","4","560.972",,,,,,,,,,,,
,2017,"Chantejeau","862140102","H","Saint-Benoît","86214","CA Grand-Poitiers","200069854","CA","Vienne","86","Nouvelle-Aquitaine","75","BT > 36 kVA","1","33.903",,,,,,,,,,,,
,2017,"Bel-Air","861941002","H","Poitiers","86194","CA Grand-Poitiers","200069854","CA","Vienne","86","Nouvelle-Aquitaine","75","BT <= 36 kVA",,,,,,,,,,,,,,
,2017,"Montmidi","861940903","H","Poitiers","86194","CA Grand-Poitiers","200069854","CA","Vienne","86","Nouvelle-Aquitaine","75","BT <= 36 kVA",,,,,,,,,,,,,,
,2017,"Les Rocs","861940902","H","Poitiers","86194","CA Grand-Poitiers","200069854","CA","Vienne","86","Nouvelle-Aquitaine","75","BT <= 36 kVA",,,,,,,,,,,,,,
,2017,"Le Porteau","861940901","H","Poitiers","86194","CA Grand-Poitiers","200069854","CA","Vienne","86","Nouvelle-Aquitaine","75","BT <= 36 kVA","12","41.443",,,,,,,,,,,,
,2017,"Alienor d'Aquitaine","861940804","H","Poitiers","86194","CA Grand-Poitiers","200069854","CA","Vienne","86","Nouvelle-Aquitaine","75","BT > 36 kVA","1","214.848",,,,,,,,,,,,
,2017,"Alienor d'Aquitaine","861940804","H","Poitiers","86194","CA Grand-Poitiers","200069854","CA","Vienne","86","Nouvelle-Aquitaine","75","BT <= 36 kVA",,,,,,,,,,,,,,
,2017,"Couronneries-Nimegue","861940803","H","Poitiers","86194","CA Grand-Poitiers","200069854","CA","Vienne","86","Nouvelle-Aquitaine","75","BT <= 36 kVA",,,,,,,,,,,,,,
,2017,"Couronneries-Nimegue","861940803","H","Poitiers","86194","CA Grand-Poitiers","200069854","CA","Vienne","86","Nouvelle-Aquitaine","75","HTA",,,,,,,,,"1","5866.217",,,,
,2017,"Ganterie","861940702","H","Poitiers","86194","CA Grand-Poitiers","200069854","CA","Vienne","86","Nouvelle-Aquitaine","75","BT <= 36 kVA",,,,,,,,,,,,,,
,2017,"Saint-Eloi-Fraternité","861940605","H","Poitiers","86194","CA Grand-Poitiers","200069854","CA","Vienne","86","Nouvelle-Aquitaine","75","BT > 36 kVA","2","168.876",,,,,,,,,,,,
,2017,"Saint-Eloi-Fraternité","861940605","H","Poitiers","86194","CA Grand-Poitiers","200069854","CA","Vienne","86","Nouvelle-Aquitaine","75","BT <= 36 kVA",,,,,,,,,,,,,,
,2017,"Saint-Eloi-Mandela","861940604","H","Poitiers","86194","CA Grand-Poitiers","200069854","CA","Vienne","86","Nouvelle-Aquitaine","75","BT <= 36 kVA","20","121.507",,,,,,,,,,,,
,2017,"Le Breuil-Mingot","861940603","A","Poitiers","86194","CA Grand-Poitiers","200069854","CA","Vienne","86","Nouvelle-Aquitaine","75","BT <= 36 kVA","12","33.399",,,,,,,,,,,,
,2017,"Touffenet","861940601","H","Poitiers","86194","CA Grand-Poitiers","200069854","CA","Vienne","86","Nouvelle-Aquitaine","75","BT > 36 kVA","2","189.026",,,,,,,,,,,,
,2017,"Touffenet","861940601","H","Poitiers","86194","CA Grand-Poitiers","200069854","CA","Vienne","86","Nouvelle-Aquitaine","75","BT <= 36 kVA",,,,,,,,,,,,,,
,2017,"Iassi","861940503","H","Poitiers","86194","CA Grand-Poitiers","200069854","CA","Vienne","86","Nouvelle-Aquitaine","75","BT <= 36 kVA",,,,,,,,,,,,,,
,2017,"Les Templiers","861940502","H","Poitiers","86194","CA Grand-Poitiers","200069854","CA","Vienne","86","Nouvelle-Aquitaine","75","BT <= 36 kVA",,,,,,,,,,,,,,
,2017,"Gibauderie","861940402","H","Poitiers","86194","CA Grand-Poitiers","200069854","CA","Vienne","86","Nouvelle-Aquitaine","75","BT <= 36 kVA",,,,,,,,,,,,,,
,2017,"Clos-Gauthier Les Sables","861940302","H","Poitiers","86194","CA Grand-Poitiers","200069854","CA","Vienne","86","Nouvelle-Aquitaine","75","BT <= 36 kVA",,,,,,,,,,,,,,
,2017,"Clos-Gauthier Les Sables","861940302","H","Poitiers","86194","CA Grand-Poitiers","200069854","CA","Vienne","86","Nouvelle-Aquitaine","75","HTA",,,,,,,,,"1","2835.487",,,,
,2017,"Les Cours","861940301","H","Poitiers","86194","CA Grand-Poitiers","200069854","CA","Vienne","86","Nouvelle-Aquitaine","75","BT <= 36 kVA","12","64.998",,,,,,,,,,,,
,2017,"Bellejouanne","861940202","H","Poitiers","86194","CA Grand-Poitiers","200069854","CA","Vienne","86","Nouvelle-Aquitaine","75","BT <= 36 kVA",,,,,,,,,,,,,,
,2017,"Chilvert","861940201","H","Poitiers","86194","CA Grand-Poitiers","200069854","CA","Vienne","86","Nouvelle-Aquitaine","75","BT <= 36 kVA",,,,,,,,,,,,,,
,2017,"Sainte-Croix","861940105","H","Poitiers","86194","CA Grand-Poitiers","200069854","CA","Vienne","86","Nouvelle-Aquitaine","75","BT <= 36 kVA",,,,,,,,,,,,,,
,2017,"Trois Quartiers","861940101","H","Poitiers","86194","CA Grand-Poitiers","200069854","CA","Vienne","86","Nouvelle-Aquitaine","75","BT <= 36 kVA",,,,,,,,,,,,,,
,2017,"Zone d'Activites Futuroscope","861150104","A","Jaunay-Marigny","86115","CA Grand-Poitiers","200069854","CA","Vienne","86","Nouvelle-Aquitaine","75","BT > 36 kVA","2","179.217",,,,,,,,,,,,
,2017,"Zone d'Activites Futuroscope","861150104","A","Jaunay-Marigny","86115","CA Grand-Poitiers","200069854","CA","Vienne","86","Nouvelle-Aquitaine","75","HTA",,,,,,,,,"1","7023.129",,,,
,2017,"Ecarts","861150103","H","Jaunay-Marigny","86115","CA Grand-Poitiers","200069854","CA","Vienne","86","Nouvelle-Aquitaine","75","BT <= 36 kVA","28","82.621",,,,,,,,,,,,
,2017,"Centre","861150102","H","Jaunay-Marigny","86115","CA Grand-Poitiers","200069854","CA","Vienne","86","Nouvelle-Aquitaine","75","BT <= 36 kVA",,,,,,,,,,,,,,
,2017,"Dissay (commune non irisée)","860950000","Z","Dissay","86095","CA Grand-Poitiers","200069854","CA","Vienne","86","Nouvelle-Aquitaine","75","BT > 36 kVA","1","123.956",,,,,,,,,,,,
,2017,"Dissay (commune non irisée)","860950000","Z","Dissay","86095","CA Grand-Poitiers","200069854","CA","Vienne","86","Nouvelle-Aquitaine","75","BT <= 36 kVA","45","152.527",,,,,,,,,,,,
,2017,"Saint-Georges-lès-Baillargeaux (commune non irisée)","862220000","Z","Saint-Georges-lès-Baillargeaux","86222","CA Grand-Poitiers","200069854","CA","Vienne","86","Nouvelle-Aquitaine","75","BT <= 36 kVA","39","143.52",,,,,,,,,,,,
,2017,"Saint-Georges-lès-Baillargeaux (commune non irisée)","862220000","Z","Saint-Georges-lès-Baillargeaux","86222","CA Grand-Poitiers","200069854","CA","Vienne","86","Nouvelle-Aquitaine","75","HTA","1","4166.74",,,,,,,,,,,,
,2013,"Bourg","862140103","H","Saint-Benoît","86214","CA Grand Poitiers","248600157","CA","Vienne","86","Nouvelle-Aquitaine","75","BT <= 36 kVA",,,,,,,,,,,,,,
,2013,"Chantejeau","862140102","H","Saint-Benoît","86214","CA Grand Poitiers","248600157","CA","Vienne","86","Nouvelle-Aquitaine","75","BT > 36 kVA","1","54.63372942717086",,,,,,,,,,,,
,2013,"Ganterie","861940702","H","Poitiers","86194","CA Grand Poitiers","248600157","CA","Vienne","86","Nouvelle-Aquitaine","75","BT <= 36 kVA",,,,,,,,,,,,,,
,2013,"Planty-Amandiers","860410102","H","Buxerolles","86041","CA Grand Poitiers","248600157","CA","Vienne","86","Nouvelle-Aquitaine","75","BT <= 36 kVA",,,,,,,,,,,,,,
,2013,"Les Facultes","861940404","H","Poitiers","86194","CA Grand Poitiers","248600157","CA","Vienne","86","Nouvelle-Aquitaine","75","HTA",,,,,,,,,"1","4215.199",,,,
,2013,"La Plaine","861940701","H","Poitiers","86194","CA Grand Poitiers","248600157","CA","Vienne","86","Nouvelle-Aquitaine","75","BT <= 36 kVA",,,,,,,,,,,,,,
,2011,"Sainte-Croix","861940105","H","Poitiers","86194","CA Grand Poitiers","248600157","CA","Vienne","86","Nouvelle-Aquitaine","75","BT <= 36 kVA",,,,,,,,,,,,,,
,2011,"Chantejeau","862140102","H","Saint-Benoît","86214","CA Grand Poitiers","248600157","CA","Vienne","86","Nouvelle-Aquitaine","75","BT <= 36 kVA",,,,,,,,,,,,,,
,2011,"Bourg","862140103","H","Saint-Benoît","86214","CA Grand Poitiers","248600157","CA","Vienne","86","Nouvelle-Aquitaine","75","BT <= 36 kVA",,,,,,,,,,,,,,
,2011,"Les Facultes","861940404","H","Poitiers","86194","CA Grand Poitiers","248600157","CA","Vienne","86","Nouvelle-Aquitaine","75","HTA",,,,,,,,,"1","4150.27",,,,
,2011,"La Plaine","861940701","H","Poitiers","86194","CA Grand Poitiers","248600157","CA","Vienne","86","Nouvelle-Aquitaine","75","BT <= 36 kVA",,,,,,,,,,,,,,
,2016,"La Plaine","861940701","H","Poitiers","86194","CA Grand Poitiers","248600157","CA","Vienne","86","Nouvelle-Aquitaine","75","BT <= 36 kVA",,,,,,,,,,,,,,
