year,region_code,region_name,carrier,conso_totale_mwh,nb_sites,habitants
2014,52,Pays de la Loire,Gaz,19243740.89,580688.0,
2014,53,Bretagne,Electricité,20313159.53,2043926.0,
2014,53,Bretagne,Gaz,14216913.42,470144.0,
2014,75,Nouvelle-Aquitaine,Electricité,33854907.88,3450901.0,
2014,75,Nouvelle-Aquitaine,Gaz,24939261.63,967139.0,
2014,76,Occitanie,Electricité,40143346.849999994,3792169.0,
2014,76,Occitanie,Gaz,19096129.51,852348.0,
2014,84,Auvergne-Rhône-Alpes,Electricité,56796687.79,4676541.0,
2014,84,Auvergne-Rhône-Alpes,Gaz,47158645.55,1254923.0,
2014,93,Provence-Alpes-Côte d'Azur,Electricité,35207230.36,3376664.0,
2014,93,Provence-Alpes-Côte d'Azur,Gaz,28758966.0,736540.0,
2014,94,Corse,Electricité,0.0,0.0,
2015,1,Guadeloupe,Electricité,1503688.0,257643.0,
2015,2,Martinique,Electricité,1406343.0,226597.0,
2015,3,Guyane,Electricité,793532.0,80726.0,
2015,4,La Réunion,Electricité,2636993.0,448854.0,
2015,6,Mayotte,Electricité,273625.82,38444.0,
2015,11,Île-de-France,Electricité,67301771.5,6456444.0,
2015,11,Île-de-France,Gaz,71644492.96000001,2644239.0,
2015,24,Centre-Val de Loire,Electricité,17072469.28,1492153.0,
2015,24,Centre-Val de Loire,Gaz,16006153.25,452320.0,
2015,27,Bourgogne-Franche-Comté,Electricité,19459067.94,1724387.0,
2015,27,Bourgogne-Franche-Comté,Gaz,18928692.55,509910.0,
2015,28,Normandie,Electricité,25139524.43,1949199.0,
2015,28,Normandie,Gaz,44434539.35,527442.0,
2015,32,Hauts-de-France,Electricité,44440017.18,3069998.0,
2015,32,Hauts-de-France,Gaz,62732149.230000004,1409149.0,
2015,44,Grand Est,Electricité,41458069.830000006,3146190.0,
2015,44,Grand Est,Gaz,65128846.02,1156485.0,
2015,52,Pays de la Loire,Electricité,24016717.96,2172790.0,
2015,52,Pays de la Loire,Gaz,21080565.68,599864.0,
2015,53,Bretagne,Electricité,20648057.93,2055774.0,
2015,53,Bretagne,Gaz,14753771.11,487107.0,
2015,75,Nouvelle-Aquitaine,Electricité,37354906.15,3773903.0,
2015,75,Nouvelle-Aquitaine,Gaz,28155026.53,999962.0,
2015,76,Occitanie,Electricité,33951629.43,3841334.0,
2015,76,Occitanie,Gaz,19562846.57,879711.0,
