id_logement,appareil_suivi,type,conso_an1_kwh,conso_an2_kwh
402,Plaques cuisson,VITROCÉRAMIQUE,57.6,82.1
408,Plaques cuisson,VITROCÉRAMIQUE,61.8,
509,Plaques cuisson,VITROCÉRAMIQUE,86.0,
605,Plaques cuisson,VITROCÉRAMIQUE,105.5,140.5
607,Plaques cuisson,VITROCÉRAMIQUE,531.6,601.2
704,Plaques cuisson,VITROCÉRAMIQUE,162.7,145.2
707,Plaques cuisson,VITROCÉRAMIQUE,98.9,129.6
905,Plaques cuisson,VITROCÉRAMIQUE,166.5,151.3
911,Plaques cuisson,VITROCÉRAMIQUE,489.9,534.3
1003,Plaques cuisson,VITROCÉRAMIQUE,152.6,169.0
1007,Plaques cuisson,VITROCÉRAMIQUE,180.5,182.8
120,Plaques cuisson,VITROCÉRAMIQUE,,111.8
320,Plaques cuisson,VITROCÉRAMIQUE,,198.4
922,Plaques cuisson,VITROCÉRAMIQUE,,46.7
103,Poêles,POELE A GRANULES,151.1,134.7
202,Poêles,POELE A GRANULES,87.4,101.7
401,Poêles,POELE A GRANULES,75.7,
508,Poêles,POELE A GRANULES,38.7,26.1
709,Poêles,POELE A GRANULES,70.5,83.7
810,Poêles,POELE A GRANULES,147.8,
209,Poêles,POELE A GRANULES,,34.8
720,Poêles,POELE A GRANULES,,202.1
407,Poêles,POELE PÉTROLE,38.1,37.1
906,Pompes,MICROSTATION,372.6,
707,Pompes,POMPE CAVE,3.4,5.7
706,Pompes,POMPE FOSSE SCEPTIQUE,7.7,10.0
1010,Pompes,POMPE JARDIN,135.5,72.8
620,Pompes,POMPE JARDIN,,3.4
720,Pompes,POMPE JARDIN,,24.9
206,Pompes,POMPE JARDIN,,39.9
401,Réfricongélateur,,451.2,
406,Réfricongélateur,,927.7,1001.3
803,Réfricongélateur,,920.8,972.0
1011,Réfricongélateur,,389.7,393.4
721,Réfricongélateur,,,750.2
101,Réfricongélateur,,119.1,123.7
102,Réfricongélateur,,252.0,229.3
103,Réfricongélateur,,268.2,256.7
104,Réfricongélateur,,172.9,
105,Réfricongélateur,,248.4,244.7
106,Réfricongélateur,,496.8,
107,Réfricongélateur,,268.7,275.7
109,Réfricongélateur,,335.4,
110,Réfricongélateur,,230.9,232.4
202,Réfricongélateur,,320.6,146.6
204,Réfricongélateur,,186.7,228.3
205,Réfricongélateur,,525.6,554.7
207,Réfricongélateur,,218.5,200.5
210,Réfricongélateur,,291.1,197.5
302,Réfricongélateur,,211.3,210.4
303,Réfricongélateur,,385.4,402.2
304,Réfricongélateur,,443.2,
305,Réfricongélateur,,434.9,239.3
306,Réfricongélateur,,496.5,474.6
307,Réfricongélateur,,260.5,
308,Réfricongélateur,,349.5,328.3
309,Réfricongélateur,,534.4,586.0
310,Réfricongélateur,,251.3,254.1
311,Réfricongélateur,,398.6,449.1
402,Réfricongélateur,,364.2,348.3
403,Réfricongélateur,,185.8,173.2
404,Réfricongélateur,,203.7,229.6
408,Réfricongélateur,,274.1,
409,Réfricongélateur,,251.9,277.5
410,Réfricongélateur,,335.0,336.7
501,Réfricongélateur,,272.4,
502,Réfricongélateur,,771.3,784.6
502,Réfricongélateur,,285.1,262.3
503,Réfricongélateur,,308.2,354.0
504,Réfricongélateur,,344.5,355.7
505,Réfricongélateur,,358.3,437.7
506,Réfricongélateur,,247.3,249.7
507,Réfricongélateur,,314.1,328.6
508,Réfricongélateur,,336.5,375.2
509,Réfricongélateur,,681.1,
510,Réfricongélateur,,283.4,325.0
601,Réfricongélateur,,441.9,338.6
601,Réfricongélateur,,313.9,409.0
602,Réfricongélateur,,178.8,217.2
604,Réfricongélateur,,310.6,353.6
605,Réfricongélateur,,345.1,325.3
606,Réfricongélateur,,300.8,334.3
607,Réfricongélateur,,273.5,263.5
608,Réfricongélateur,,240.0,230.5
702,Réfricongélateur,,303.1,252.0
702,Réfricongélateur,,44.0,566.1
703,Réfricongélateur,,335.1,390.2
704,Réfricongélateur,,369.0,368.9
706,Réfricongélateur,,431.5,354.8
707,Réfricongélateur,,302.6,315.5
707,Réfricongélateur,,244.3,286.1
709,Réfricongélateur,,193.2,199.3
801,Réfricongélateur,,590.1,541.9
802,Réfricongélateur,,225.6,
806,Réfricongélateur,,376.3,389.0
807,Réfricongélateur,,429.8,405.2
808,Réfricongélateur,,334.0,
809,Réfricongélateur,,352.6,
810,Réfricongélateur,,448.1,416.7
902,Réfricongélateur,,308.6,349.1
903,Réfricongélateur,,383.7,363.9
904,Réfricongélateur,,239.0,
905,Réfricongélateur,,392.1,441.4
906,Réfricongélateur,,430.0,
907,Réfricongélateur,,489.3,252.0
908,Réfricongélateur,,302.0,306.3
909,Réfricongélateur,,342.0,319.6
910,Réfricongélateur,,240.5,
911,Réfricongélateur,,508.1,513.0
912,Réfricongélateur,,400.2,382.5
1001,Réfricongélateur,,296.3,280.2
1002,Réfricongélateur,,281.8,278.9
1004,Réfricongélateur,,304.7,295.0
1005,Réfricongélateur,,548.8,563.0
1007,Réfricongélateur,,294.7,290.3
1008,Réfricongélateur,,303.2,
1009,Réfricongélateur,,236.6,231.5
1009,Réfricongélateur,,178.5,82.6
120,Réfricongélateur,,,340.1
121,Réfricongélateur,,,206.1
123,Réfricongélateur,,,313.3
420,Réfricongélateur,,,206.1
421,Réfricongélateur,,,418.2
520,Réfricongélateur,,,306.7
620,Réfricongélateur,,,399.6
720,Réfricongélateur,,,558.6
722,Réfricongélateur,,,365.7
820,Réfricongélateur,,,266.9
821,Réfricongélateur,,,188.6
822,Réfricongélateur,,,473.2
823,Réfricongélateur,,,351.0
921,Réfricongélateur,,,328.7
922,Réfricongélateur,,,478.5
122,Réfricongélateur,,,258.7
326,Réfricongélateur,,,170.6
107,Réfrigérateur,,111.4,
108,Réfrigérateur,,209.1,
201,Réfrigérateur,,201.4,179.2
203,Réfrigérateur,,136.6,118.8
206,Réfrigérateur,,108.7,100.0
208,Réfrigérateur,,95.7,
209,Réfrigérateur,,157.6,150.2
209,Réfrigérateur,,272.9,248.0
301,Réfrigérateur,,142.9,127.8
405,Réfrigérateur,,111.1,114.7
406,Réfrigérateur,,452.8,399.1
407,Réfrigérateur,,195.6,189.0
602,Réfrigérateur,,161.5,158.4
603,Réfrigérateur,,155.8,148.4
607,Réfrigérateur,,195.4,195.5
701,Réfrigérateur,,148.9,
705,Réfrigérateur,,124.5,121.7
705,Réfrigérateur,,250.4,212.8
708,Réfrigérateur,,117.5,
709,Réfrigérateur,,148.6,110.3
803,Réfrigérateur,,39.8,80.8
804,Réfrigérateur,,208.3,206.5
805,Réfrigérateur,,170.2,164.0
901,Réfrigérateur,,111.3,148.2
902,Réfrigérateur,,153.6,152.4
1003,Réfrigérateur,,113.5,104.0
1006,Réfrigérateur,,210.3,222.9
1010,Réfrigérateur,,137.8,143.7
320,Réfrigérateur,,,136.5
210,Repassage,CENTRALE VAPEUR DE REPASSAGE,0.0,0.0
302,Repassage,CENTRALE VAPEUR DE REPASSAGE,33.7,27.9
303,Repassage,CENTRALE VAPEUR DE REPASSAGE,38.3,34.4
304,Repassage,CENTRALE VAPEUR DE REPASSAGE,29.0,
309,Repassage,CENTRALE VAPEUR DE REPASSAGE,34.3,12.0
506,Repassage,CENTRALE VAPEUR DE REPASSAGE,7.1,14.2
604,Repassage,CENTRALE VAPEUR DE REPASSAGE,38.1,25.9
704,Repassage,CENTRALE VAPEUR DE REPASSAGE,11.2,18.3
806,Repassage,CENTRALE VAPEUR DE REPASSAGE,13.4,9.5
809,Repassage,CENTRALE VAPEUR DE REPASSAGE,22.3,
903,Repassage,CENTRALE VAPEUR DE REPASSAGE,23.7,22.7
911,Repassage,CENTRALE VAPEUR DE REPASSAGE,42.2,29.9
121,Repassage,CENTRALE VAPEUR DE REPASSAGE,,14.5
720,Repassage,CENTRALE VAPEUR DE REPASSAGE,,16.8
721,Repassage,CENTRALE VAPEUR DE REPASSAGE,,10.8
722,Repassage,CENTRALE VAPEUR DE REPASSAGE,,16.5
902,Repassage,CENTRALE VAPEUR DE REPASSAGE,,37.7
420,Repassage,CENTRALE VAPEUR DE REPASSAGE,,2.7
403,Repassage,FER À REPASSER,42.0,13.7
705,Repassage,FER À REPASSER,45.0,40.0
201,Santé,APNESOMMEIL,104.8,
208,Santé,APNESOMMEIL,52.4,
309,Santé,APNESOMMEIL,40.4,81.1
307,Santé,APNESOMMEIL,34.2,
407,Santé,APNESOMMEIL,25.0,25.0
121,Santé,APNESOMMEIL,,25.0
403,Santé,CHARGEUR FAUTEUIL ROULANT,46.5,
607,Sèche linge,CONDENSATION,782.6,549.8
701,Sèche linge,CONDENSATION,562.9,
809,Sèche linge,CONDENSATION,468.6,
304,Sèche linge,CONDENSATION,463.4,
802,Sèche linge,CONDENSATION,451.3,
311,Sèche linge,CONDENSATION,448.6,454.0
1004,Sèche linge,CONDENSATION,405.5,411.8
105,Sèche linge,CONDENSATION,268.3,235.9
508,Sèche linge,CONDENSATION,259.8,288.3
903,Sèche linge,CONDENSATION,234.7,235.2
210,Sèche linge,CONDENSATION,226.1,357.6
502,Sèche linge,CONDENSATION,218.4,359.5
401,Sèche linge,CONDENSATION,212.6,
106,Sèche linge,CONDENSATION,188.5,
807,Sèche linge,CONDENSATION,113.9,136.0
303,Sèche linge,CONDENSATION,108.5,36.2
705,Sèche linge,CONDENSATION,99.5,35.6
604,Sèche linge,CONDENSATION,83.2,67.0
310,Sèche linge,CONDENSATION,7.7,13.4
720,Sèche linge,CONDENSATION,,54.5
820,Sèche linge,CONDENSATION,,31.0
206,Sèche linge,EVACUATION,1123.2,1267.3
1008,Sèche linge,EVACUATION,562.2,
1011,Sèche linge,EVACUATION,485.4,365.8
1009,Sèche linge,EVACUATION,376.0,455.6
808,Sèche linge,EVACUATION,171.2,
1010,Sèche linge,EVACUATION,146.2,111.0
702,Sèche linge,EVACUATION,141.2,179.7
108,Sèche linge,EVACUATION,25.5,
902,Sèche linge,POMPE À CHALEUR,287.6,353.8
803,Sèche linge,POMPE À CHALEUR,228.8,230.4
406,Sèche linge,POMPE À CHALEUR,119.7,128.9
104,Sèche linge,POMPE À CHALEUR,53.9,
410,Sécurité,CAMÉRA WIFI,224.2,39.8
709,Sécurité,PORTE OU PORTAIL AUTOMATIQUE,96.4,101.8
803,Sécurité,PORTE OU PORTAIL AUTOMATIQUE,115.7,115.7
1006,Sécurité,PORTE OU PORTAIL AUTOMATIQUE,53.4,51.5
1007,Sécurité,PORTE OU PORTAIL AUTOMATIQUE,28.7,27.1
1007,Sécurité,VISIOPHONE,40.2,42.1
410,Sécurité,VOLETS ROULANTS,39.9,40.9
604,Sécurité,VOLETS ROULANTS,18.4,16.9
608,Sécurité,VOLETS ROULANTS,23.4,23.0
708,Sécurité,VOLETS ROULANTS,5.8,
910,Sécurité,VOLETS ROULANTS,37.5,
1007,Sécurité,VOLETS ROULANTS,2.4,3.1
721,Sécurité,VOLETS ROULANTS,,1.3
820,Sécurité,VOLETS ROULANTS,,11.1
823,Sécurité,VOLETS ROULANTS,,12.4
408,Tablettes_smartph,SMART PHONE,2.9,
107,Tablettes_smartph,SMART PHONE,,8.6
404,Tablettes_smartph,TABLETTE,5.6,10.4
405,Tablettes_smartph,TABLETTE,3.9,1.4
409,Tablettes_smartph,TABLETTE,4.0,
101,Téléviseurs,PRINCIPAL,55.2,115.7
102,Téléviseurs,PRINCIPAL,311.0,36.6
103,Téléviseurs,PRINCIPAL,274.3,314.7
104,Téléviseurs,PRINCIPAL,297.3,
105,Téléviseurs,PRINCIPAL,158.8,152.6
106,Téléviseurs,PRINCIPAL,232.4,
107,Téléviseurs,PRINCIPAL,0.0,7.5
109,Téléviseurs,PRINCIPAL,175.2,
110,Téléviseurs,PRINCIPAL,162.5,150.2
121,Téléviseurs,PRINCIPAL,,42.3
122,Téléviseurs,PRINCIPAL,,78.1
123,Téléviseurs,PRINCIPAL,,153.9
201,Téléviseurs,PRINCIPAL,147.6,117.6
202,Téléviseurs,PRINCIPAL,182.4,75.9
203,Téléviseurs,PRINCIPAL,68.3,86.5
204,Téléviseurs,PRINCIPAL,36.7,75.3
205,Téléviseurs,PRINCIPAL,214.8,228.8
206,Téléviseurs,PRINCIPAL,307.8,287.4
207,Téléviseurs,PRINCIPAL,180.0,205.5
209,Téléviseurs,PRINCIPAL,277.0,248.9
210,Téléviseurs,PRINCIPAL,144.1,141.4
301,Téléviseurs,PRINCIPAL,393.0,238.9
302,Téléviseurs,PRINCIPAL,169.5,190.5
303,Téléviseurs,PRINCIPAL,,147.4
306,Téléviseurs,PRINCIPAL,724.3,741.5
307,Téléviseurs,PRINCIPAL,72.1,
308,Téléviseurs,PRINCIPAL,75.5,101.6
310,Téléviseurs,PRINCIPAL,64.5,87.4
311,Téléviseurs,PRINCIPAL,350.8,345.2
320,Téléviseurs,PRINCIPAL,,189.9
326,Téléviseurs,PRINCIPAL,,260.0
401,Téléviseurs,PRINCIPAL,1143.0,
402,Téléviseurs,PRINCIPAL,108.6,236.1
403,Téléviseurs,PRINCIPAL,142.8,77.4
404,Téléviseurs,PRINCIPAL,365.0,488.9
405,Téléviseurs,PRINCIPAL,437.6,88.0
406,Téléviseurs,PRINCIPAL,95.5,167.5
408,Téléviseurs,PRINCIPAL,68.4,
410,Téléviseurs,PRINCIPAL,118.2,102.6
420,Téléviseurs,PRINCIPAL,,69.4
421,Téléviseurs,PRINCIPAL,,112.2
501,Téléviseurs,PRINCIPAL,98.5,
502,Téléviseurs,PRINCIPAL,391.7,531.0
503,Téléviseurs,PRINCIPAL,83.9,121.1
505,Téléviseurs,PRINCIPAL,130.8,168.6
506,Téléviseurs,PRINCIPAL,156.7,158.4
507,Téléviseurs,PRINCIPAL,82.1,82.8
508,Téléviseurs,PRINCIPAL,242.2,177.5
509,Téléviseurs,PRINCIPAL,198.2,
510,Téléviseurs,PRINCIPAL,105.9,95.2
601,Téléviseurs,PRINCIPAL,54.5,174.5
602,Téléviseurs,PRINCIPAL,207.8,158.7
603,Téléviseurs,PRINCIPAL,66.8,200.8
604,Téléviseurs,PRINCIPAL,27.6,46.4
605,Téléviseurs,PRINCIPAL,136.5,184.2
606,Téléviseurs,PRINCIPAL,92.7,130.1
607,Téléviseurs,PRINCIPAL,145.7,88.3
608,Téléviseurs,PRINCIPAL,62.0,78.0
620,Téléviseurs,PRINCIPAL,,321.3
701,Téléviseurs,PRINCIPAL,177.9,
702,Téléviseurs,PRINCIPAL,151.8,180.8
703,Téléviseurs,PRINCIPAL,33.2,42.9
704,Téléviseurs,PRINCIPAL,334.7,346.0
705,Téléviseurs,PRINCIPAL,63.7,55.9
706,Téléviseurs,PRINCIPAL,634.2,307.5
707,Téléviseurs,PRINCIPAL,112.0,104.0
708,Téléviseurs,PRINCIPAL,107.9,
709,Téléviseurs,PRINCIPAL,86.0,102.3
720,Téléviseurs,PRINCIPAL,,104.7
721,Téléviseurs,PRINCIPAL,,150.6
722,Téléviseurs,PRINCIPAL,,221.9
801,Téléviseurs,PRINCIPAL,139.2,102.7
802,Téléviseurs,PRINCIPAL,237.1,
803,Téléviseurs,PRINCIPAL,295.9,346.8
804,Téléviseurs,PRINCIPAL,412.0,409.8
805,Téléviseurs,PRINCIPAL,118.5,112.4
806,Téléviseurs,PRINCIPAL,76.1,124.1
807,Téléviseurs,PRINCIPAL,184.2,235.5
808,Téléviseurs,PRINCIPAL,328.5,
809,Téléviseurs,PRINCIPAL,24.1,
810,Téléviseurs,PRINCIPAL,131.0,135.5
820,Téléviseurs,PRINCIPAL,,100.3
821,Téléviseurs,PRINCIPAL,,84.3
822,Téléviseurs,PRINCIPAL,,91.9
823,Téléviseurs,PRINCIPAL,,135.3
901,Téléviseurs,PRINCIPAL,3.2,5.4
902,Téléviseurs,PRINCIPAL,201.5,250.1
903,Téléviseurs,PRINCIPAL,85.4,78.0
904,Téléviseurs,PRINCIPAL,279.6,
905,Téléviseurs,PRINCIPAL,388.1,398.5
907,Téléviseurs,PRINCIPAL,258.0,195.7
908,Téléviseurs,PRINCIPAL,115.4,118.1
909,Téléviseurs,PRINCIPAL,26.2,30.6
910,Téléviseurs,PRINCIPAL,116.1,
911,Téléviseurs,PRINCIPAL,20.1,26.2
912,Téléviseurs,PRINCIPAL,,248.1
921,Téléviseurs,PRINCIPAL,,13.4
922,Téléviseurs,PRINCIPAL,,275.7
1001,Téléviseurs,PRINCIPAL,124.8,103.8
1002,Téléviseurs,PRINCIPAL,24.9,30.3
1003,Téléviseurs,PRINCIPAL,104.5,150.0
1004,Téléviseurs,PRINCIPAL,47.2,39.9
1005,Téléviseurs,PRINCIPAL,50.8,44.5
1006,Téléviseurs,PRINCIPAL,208.6,195.2
1007,Téléviseurs,PRINCIPAL,130.0,124.0
1008,Téléviseurs,PRINCIPAL,102.5,
1009,Téléviseurs,PRINCIPAL,132.6,173.7
1010,Téléviseurs,PRINCIPAL,354.9,434.3
1011,Téléviseurs,PRINCIPAL,553.7,364.3
201,Téléviseurs,SECONDAIRE,37.6,33.6
201,Téléviseurs,SECONDAIRE,13.9,10.5
202,Téléviseurs,SECONDAIRE,49.0,34.2
205,Téléviseurs,SECONDAIRE,22.5,26.6
210,Téléviseurs,SECONDAIRE,132.7,75.4
301,Téléviseurs,SECONDAIRE,5.1,5.2
302,Téléviseurs,SECONDAIRE,33.6,25.5
303,Téléviseurs,SECONDAIRE,153.3,133.4
406,Téléviseurs,SECONDAIRE,24.6,23.2
406,Téléviseurs,SECONDAIRE,0.0,40.0
501,Téléviseurs,SECONDAIRE,81.6,
503,Téléviseurs,SECONDAIRE,230.5,80.5
507,Téléviseurs,SECONDAIRE,10.4,9.0
510,Téléviseurs,SECONDAIRE,3.5,4.7
602,Téléviseurs,SECONDAIRE,380.6,448.4
602,Téléviseurs,SECONDAIRE,47.1,32.4
705,Téléviseurs,SECONDAIRE,193.6,117.5
708,Téléviseurs,SECONDAIRE,0.7,
722,Téléviseurs,SECONDAIRE,,98.7
806,Téléviseurs,SECONDAIRE,62.0,53.9
823,Téléviseurs,SECONDAIRE,,35.8
907,Téléviseurs,SECONDAIRE,48.6,43.7
910,Téléviseurs,SECONDAIRE,3.4,
912,Téléviseurs,SECONDAIRE,73.6,28.6
1006,Téléviseurs,SECONDAIRE,34.8,42.7
1011,Téléviseurs,SECONDAIRE,11.3,21.8
204,Tondeuse,,6.2,3.3
1005,Tondeuse,,5.1,1.1
821,Tondeuse,,,0.9
101,Ventilation,,0.0,0.0
103,Ventilation,,277.7,259.2
108,Ventilation,,72.8,
201,Ventilation,,156.6,121.1
202,Ventilation,,188.2,184.2
204,Ventilation,,272.2,275.1
205,Ventilation,,299.3,290.5
206,Ventilation,,70.9,68.3
207,Ventilation,,246.0,246.4
209,Ventilation,,89.7,92.2
210,Ventilation,,507.6,504.9
305,Ventilation,,25.8,25.8
308,Ventilation,,,82.5
311,Ventilation,,184.3,168.1
401,Ventilation,,205.9,
410,Ventilation,,297.0,292.3
502,Ventilation,,251.9,251.2
503,Ventilation,,0.0,0.0
504,Ventilation,,45.4,189.2
505,Ventilation,,605.4,401.5
508,Ventilation,,112.4,108.9
601,Ventilation,,150.8,125.8
605,Ventilation,,398.1,431.0
608,Ventilation,,224.2,224.6
620,Ventilation,,,42.5
701,Ventilation,,384.0,
702,Ventilation,,304.4,298.8
703,Ventilation,,201.6,182.1
704,Ventilation,,340.5,341.2
705,Ventilation,,321.0,301.0
706,Ventilation,,68.4,65.6
707,Ventilation,,85.1,51.1
709,Ventilation,,245.2,251.0
720,Ventilation,,,204.7
721,Ventilation,,,204.6
722,Ventilation,,,217.4
801,Ventilation,,54.9,50.0
802,Ventilation,,488.8,
803,Ventilation,,883.1,831.4
804,Ventilation,,253.1,397.7
808,Ventilation,,282.5,
809,Ventilation,,33.1,
810,Ventilation,,,260.0
902,Ventilation,,123.8,119.9
906,Ventilation,,379.4,
911,Ventilation,,215.2,291.5
912,Ventilation,,93.1,94.4
921,Ventilation,,,194.5
1001,Ventilation,,240.9,
1004,Ventilation,,254.7,207.8
1005,Ventilation,,179.2,168.1
1006,Ventilation,,324.7,312.4
1007,Ventilation,,469.0,470.0
1009,Ventilation,,526.0,490.0
1010,Ventilation,,119.1,94.6
