Date,nom_region,filiere_conso,conso_twh,code_region,nb_sites,habitants,filiere_prod,prod_twh,conso_region,prod_region,indice_pondere,indice_par_habitant,classe
2014-05-01,Île-de-France,Consommation brute,5.329635734029,11,127940526,86222010,Solaire,0.008347582,5703.080341204099,82.1480545,-0.9855958447741845,-0.06171612273976216,Très déficitaire
2014-05-01,Île-de-France,Consommation brute,5.329635734029,11,127940526,86222010,Hydraulique,0.005799564,5703.080341204099,82.1480545,-0.9855958447741845,-0.06174567456765389,Très déficitaire
2014-05-01,Île-de-France,Consommation brute,5.329635734029,11,127940526,86222010,Eolien,0.003492562,5703.080341204099,82.1480545,-0.9855958447741845,-0.061772431100005666,Très déficitaire
2014-05-01,Île-de-France,Consommation brute,5.329635734029,11,127940526,86222010,Thermique fossile,0.046221559,5703.080341204099,82.1480545,-0.9855958447741845,-0.06127686161606531,Très déficitaire
2014-05-01,Île-de-France,Consommation brute,5.329635734029,11,127940526,86222010,Thermique renouvelable et déchets,0.099221559,5703.080341204099,82.1480545,-0.9855958447741845,-0.060662169381449124,Très déficitaire
2014-05-01,Île-de-France,Consommation brute,5.329635734029,11,127940526,86222010,Energie produite,0.163082826,5703.080341204099,82.1480545,-0.9855958447741845,-0.059921508533946254,Très déficitaire
2014-06-01,Île-de-France,Consommation brute,4.868863482667,11,127940526,86222010,Autre,-5.3e-20,5703.080341204099,82.1480545,-0.9855958447741845,-0.05646891649437307,Très déficitaire
2014-06-01,Île-de-France,Consommation brute,4.868863482667,11,127940526,86222010,Solaire,0.009424704,5703.080341204099,82.1480545,-0.9855958447741845,-0.05635960909130975,Très déficitaire
2014-06-01,Île-de-France,Consommation brute,4.868863482667,11,127940526,86222010,Hydraulique,0.00350147,5703.080341204099,82.1480545,-0.9855958447741845,-0.05642830656194399,Très déficitaire
2014-06-01,Île-de-France,Consommation brute,4.868863482667,11,127940526,86222010,Eolien,0.002303832,5703.080341204099,82.1480545,-0.9855958447741845,-0.0564421967275757,Très déficitaire
2014-06-01,Île-de-France,Consommation brute,4.868863482667,11,127940526,86222010,Thermique fossile,0.047426603,5703.080341204099,82.1480545,-0.9855958447741845,-0.05591886433251788,Très déficitaire
2014-06-01,Île-de-France,Consommation brute,4.868863482667,11,127940526,86222010,Thermique renouvelable et déchets,0.079985863,5703.080341204099,82.1480545,-0.9855958447741845,-0.05554124311955845,Très déficitaire
2014-06-01,Île-de-France,Consommation brute,4.868863482667,11,127940526,86222010,Energie produite,0.142642472,5703.080341204099,82.1480545,-0.9855958447741845,-0.054814553855413485,Très déficitaire
2014-07-01,Île-de-France,Consommation brute,4.940822419375,11,127940526,86222010,Autre,-8.9e-20,5703.080341204099,82.1480545,-0.9855958447741845,-0.057303493845423,Très déficitaire
2014-07-01,Île-de-France,Consommation brute,4.940822419375,11,127940526,86222010,Solaire,0.007915417,5703.080341204099,82.1480545,-0.9855958447741845,-0.05721169110271264,Très déficitaire
2014-07-01,Île-de-France,Consommation brute,4.940822419375,11,127940526,86222010,Hydraulique,0.003470074,5703.080341204099,82.1480545,-0.9855958447741845,-0.05726324804275614,Très déficitaire
2014-07-01,Île-de-France,Consommation brute,4.940822419375,11,127940526,86222010,Eolien,0.001990316,5703.080341204099,82.1480545,-0.9855958447741845,-0.0572804102267507,Très déficitaire
2014-07-01,Île-de-France,Consommation brute,4.940822419375,11,127940526,86222010,Thermique fossile,0.001887734,5703.080341204099,82.1480545,-0.9855958447741845,-0.057281599969369774,Très déficitaire
2014-07-01,Île-de-France,Consommation brute,4.940822419375,11,127940526,86222010,Thermique renouvelable et déchets,0.101564973,5703.080341204099,82.1480545,-0.9855958447741845,-0.056125546671609725,Très déficitaire
2014-07-01,Île-de-France,Consommation brute,4.940822419375,11,127940526,86222010,Energie produite,0.116828514,5703.080341204099,82.1480545,-0.9855958447741845,-0.055948520631506966,Très déficitaire
2014-08-01,Île-de-France,Consommation brute,4.399373340021,11,127940526,86222010,Autre,2.53e-20,5703.080341204099,82.1480545,-0.9855958447741845,-0.051023785458272186,Très déficitaire
2014-08-01,Île-de-France,Consommation brute,4.399373340021,11,127940526,86222010,Solaire,0.007530585,5703.080341204099,82.1480545,-0.9855958447741845,-0.050936445984279426,Très déficitaire
2014-08-01,Île-de-France,Consommation brute,4.399373340021,11,127940526,86222010,Hydraulique,0.005154374,5703.080341204099,82.1480545,-0.9855958447741845,-0.050964005200307895,Très déficitaire
2014-08-01,Île-de-France,Consommation brute,4.399373340021,11,127940526,86222010,Eolien,0.002100074,5703.080341204099,82.1480545,-0.9855958447741845,-0.05099942886997182,Très déficitaire
2014-08-01,Île-de-France,Consommation brute,4.399373340021,11,127940526,86222010,Thermique fossile,-0.000287107,5703.080341204099,82.1480545,-0.9855958447741845,-0.05102711531569491,Très déficitaire
2014-08-01,Île-de-France,Consommation brute,4.399373340021,11,127940526,86222010,Thermique renouvelable et déchets,0.088212938,5703.080341204099,82.1480545,-0.9855958447741845,-0.05000069474164428,Très déficitaire
2014-08-01,Île-de-France,Consommation brute,4.399373340021,11,127940526,86222010,Energie produite,0.102710864,5703.080341204099,82.1480545,-0.9855958447741845,-0.049832548278809556,Très déficitaire
2014-09-01,Île-de-France,Consommation brute,4.927456356978,11,127940526,86222010,Autre,-1.16e-19,5703.080341204099,82.1480545,-0.9855958447741845,-0.05714847469895448,Très déficitaire
